,ts,io,mpi,iops,mpi_hit,other_hit,io_p,mpi_p,other_p
0,0.0,,,,,,,,
1,10.0,0.37545100000000015,2.797475339656775,3116.0,5008.095086780874,99.25,0.9386275000000003,6.993688349141938,92.06768415085806
2,20.0,0.16704499999999994,0.11158430649340279,45.0,671.6370821839355,0.0,0.41761249999999983,0.27896076623350696,99.3034267337665
3,30.0,0.07387599999999994,0.14745740893156611,21.5,822.8043075482274,0.0,0.18468999999999985,0.3686435223289153,99.44666647767109
4,40.0,0.07964700000000036,0.00044458259770774333,14.0,768.5165766026339,0.0,0.19911750000000092,0.0011114564942693583,99.79977104350573
5,50.0,0.09249799999999997,0.16940391672906951,28.5,881.4015480584549,0.0,0.23124499999999992,0.4235097918226738,99.34524520817733
6,60.0,0.052829000000000015,0.00041597440449425704,12.0,777.6662052168758,0.0,0.13207250000000004,0.0010399360112356426,99.86688756398877
7,70.0,0.09894800000000015,0.31938699593736475,24.0,828.4607509141842,0.0,0.24737000000000037,0.798467489843412,98.95416251015659
8,80.0,0.07626699999999975,0.43844912967752636,20.5,809.8671896800588,0.0,0.19066749999999938,1.096122824193816,98.71320967580618
9,90.0,0.09971175004673904,0.2408597823974512,23.134752274843777,850.3437159156856,-0.0002572933985902637,0.2492793751168476,0.602149455993628,99.14857116888952
10,100.0,0.1126082499532608,0.5234953459549034,23.365247725156223,811.8213288985407,0.0002572933985902637,0.281520624883152,1.3087383648872586,98.4097410102296
11,110.0,0.07577599999999962,0.00045956857977547116,12.0,769.3151162109607,0.0,0.18943999999999905,0.001148921449438678,99.80941107855057
12,120.0,0.1787301023990766,0.9338573709074423,36.13567659031196,898.9556608178118,-0.0001020446429720323,0.4468252559976915,2.3346434272686056,97.2185313167337
13,130.0,0.03982689760092306,0.00043728831337830343,12.36432340968804,759.7506790631105,0.0001020446429720323,0.09956724400230765,0.0010932207834457586,99.89933953521425
14,140.0,0.11519200000000018,0.5103030899912193,24.0,820.4783035842065,0.0,0.28798000000000046,1.2757577249780483,98.43626227502195
15,150.0,0.13213175935367705,0.17292637755099083,22.93682539732299,847.8004442370693,-0.0002654577829162008,0.3303293983841926,0.43231594387747707,99.23735465773834
16,160.0,0.05980309983867049,0.0004325342812743216,14.70608836938618,775.4623706822367,5.4701161388948094e-05,0.14950774959667623,0.001081335703185804,99.84941091470014
17,170.0,0.1831331408076533,0.6407482050797482,33.35708623329083,858.9300215913572,0.00021075662152725272,0.4578328520191332,1.6018705126993704,97.9402966352815
18,180.0,0.05644200000000099,0.0004405835272160985,14.0,767.0987593733589,0.0,0.14110500000000248,0.0011014588180402463,99.85779354118196
19,190.0,0.2102504625647592,0.22142850647126178,33.85821219756099,840.6795118636946,-7.432043048538617e-05,0.525626156411898,0.5535712661781544,98.92080257740994
20,200.0,0.3258235374352392,0.0002342659052407825,6.641787802439012,398.3523081887979,7.432043048538617e-05,0.8145588435880979,0.0005856647631019563,99.1848554916488
21,210.0,0.10073899999999947,0.0003986907421218433,12.0,722.1102117684168,0.0,0.25184749999999867,0.0009967268553046083,99.7471557731447
22,220.0,0.10815366701092399,0.2731561661674453,22.296802001254946,827.9086771158472,-0.0002487594197191356,0.27038416752731,0.6828904154186133,99.04672541705408
23,230.0,0.14206832246404133,0.1999077228885584,25.78753358070844,847.3750387717955,0.000168701909842639,0.3551708061601033,0.49976930722139595,99.1450598866185
24,240.0,0.11076601052503365,0.4881107541763132,22.415664418036613,796.0848177535299,8.005750987649662e-05,0.27691502631258413,1.220276885440783,98.50280808824664
25,250.0,0.11288503144702133,0.72257416452549,23.78087691823839,850.3507970341452,-0.00015328733024944086,0.28221257861755333,1.8064354113137246,97.91135201006873
26,260.0,0.07731996855297796,0.0004232162635311454,14.719123081761609,763.0955591491984,0.00015328733024944086,0.1932999213824449,0.0010580406588278635,99.80564203795873
27,270.0,0.18117199999999922,0.6634928595861993,79.25,855.6497665566458,0.0,0.4529299999999981,1.6587321489654983,97.8883378510345
28,280.0,0.12595100000000015,0.3071746120276302,31.5,881.654530915097,0.0,0.31487750000000037,0.7679365300690755,98.91718596993093
29,290.0,0.07407500000000056,0.0004142742140533784,12.15857654014053,802.9628126033822,-0.00019249907745688688,0.1851875000000014,0.001035685535133446,99.81377681446486
30,300.0,0.08597200000000083,0.12205788964801378,20.84142345985947,832.1763954139897,0.00019249907745688688,0.21493000000000206,0.30514472412003446,99.47992527587996
31,310.0,0.10431599999999941,0.21424492405136242,21.5,849.8181600172029,0.0,0.2607899999999985,0.535612310128406,99.2035976898716
32,320.0,0.0440051938253645,0.00046530809839495646,13.096895868728552,791.1417574689658,-0.00012130535969845369,0.11001298456341124,0.0011632702459873911,99.8888237451906
33,330.0,0.12850980617463392,0.13532085985599096,31.403104131271448,885.5917503821001,0.00012130535969845369,0.3212745154365848,0.3383021496399774,99.34042333492344
34,340.0,0.06957399999999936,0.00041240968174349746,12.017911149888278,761.0706742065559,-0.00030083925412327517,0.1739349999999984,0.0010310242043587436,99.82503397579565
35,350.0,0.1480780000000017,0.4185106344997962,34.48208885011172,876.8346940465817,0.00030083925412327517,0.37019500000000427,1.0462765862494905,98.5835284137505
36,360.0,0.046408999999997924,0.00044557266633837855,12.0,777.6716010764721,0.0,0.11602249999999481,0.0011139316658459464,99.88286356833416
37,370.0,0.06048599999999915,0.22901522153098064,14.5,816.4217953314437,0.0,0.15121499999999788,0.5725380538274516,99.27624694617255
38,380.0,0.15914800000000273,0.4985777060201979,34.0,851.4756402179046,0.0,0.39787000000000683,1.2464442650504948,98.3556857349495
39,390.0,0.060140000000000526,0.00047762551359120664,13.784659549317894,784.2021472019915,-0.00023015922261038213,0.15035000000000132,0.0011940637839780166,99.84845593621603
40,400.0,0.19701116795805618,0.966875815889022,34.64330599714276,877.6222905772884,0.00013841074951415067,0.49252791989514044,2.417189539722555,97.0902825403823
41,410.0,0.046119832041941144,0.0004469601762000508,12.072034453539345,773.6001639808674,9.174847309623146e-05,0.11529958010485288,0.001117400440500127,99.88358301945465
42,420.0,0.16005299999999778,0.5347079366825511,34.5,853.5993279100294,0.0,0.40013249999999445,1.3367698417063778,98.26309765829363
43,430.0,0.05121880460873651,0.0005784473758918551,13.236010869899019,793.5722274575746,-0.0001615341102478851,0.12804701152184128,0.0014461184397296378,99.87050687003843
44,440.0,0.04893119539126456,0.0004731493988217039,14.763989130100981,761.9801851348093,0.0001615341102478851,0.1223279884781614,0.0011828734970542598,99.87648913802478
45,450.0,0.1587979999999991,0.5237454194162918,32.5,870.3892620744155,0.0,0.3969949999999977,1.3093635485407296,98.29364145145928
46,460.0,0.06690499999999933,0.0004976662709452739,14.273290935462683,796.0101491343594,-0.00011765447288780706,0.16726249999999832,0.0012441656773631848,99.83149333432264
