distance id optim_v-1 optim_v-2 optim_v-3 optim_v-4 optim_v-5 optim_v-6 optim_v-7 optim_v-8 optim_v-9 optim_v-10 optim_v-11 optim_v-12 optim_v-13 optim_v-14 optim_v-15 optim_v-16 
13.46573 1 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 
11.67293 2 0.2594628 0.3782873 0.3691973 0.894775 0.9552055 0.4868256 0.5296057 0.1017831 0.2045104 0.5766768 0.6412911 0.2352747 0.523633 0.4466688 0.3485582 0.6909347 
15.39773 3 0.9887192 0.5040299 0.9541106 0.552571 0.14661 0.5978803 0.8064457 0.6262621 0.0105145 0.6220971 0.9736874 0.2369746 0.1761301 0.9304127 0.02292663 0.4682321 
14.14786 4 0.8356523 0.643432 0.8174951 0.6609845 0.1677462 0.5784189 0.498204 0.007230565 0.939376 0.8531794 0.06793134 0.3413384 0.5611459 0.0672171 0.07597154 0.1316295 
12.41919 5 0.5881469 0.04581849 0.549136 0.2648361 0.8747025 0.8134406 0.436275 0.1142488 0.6832293 0.1572769 0.3065946 0.6648994 0.120349 0.1430494 0.4412151 0.8725327 
14.00066 6 0.05048854 0.9961475 0.628867 0.2987782 0.2643945 0.6863824 0.2302507 0.6570036 0.9119639 0.4233097 0.6068997 0.4705829 0.1973665 0.7588097 0.07885837 0.7194588 
15.17453 7 0.137498 0.6268209 0.2402367 0.1277379 0.1292573 0.3487911 0.8847024 0.8733418 0.2978072 0.0221205 0.3586085 0.724125 0.5220953 0.9504008 0.9136792 0.5659778 
12.85679 8 0.9719501 0.1335554 0.331996 0.06747466 0.8503234 0.2621258 0.9921464 0.2695537 0.2761409 0.5968559 0.8162984 0.9160084 0.6465735 0.8691063 0.09777949 0.8236911 
13.73933 9 0.5651545 0.6957581 0.1992172 0.9838199 0.6734561 0.3167292 0.5043314 0.6616451 0.8443871 0.8103603 0.367649 0.4438046 0.6609704 0.4083915 0.0533475 0.3966184 
10.72813 10 0.9110097 0.474403 0.7058159 0.6396588 0.4911768 0.05763295 0.6167432 0.09411933 0.08353522 0.7242698 0.7940197 0.5592241 0.2434985 0.4267539 0.5532526 0.6333333 
13.92813 11 0.2597774 0.3498586 0.6007214 0.403178 0.5100086 0.03940831 0.5105179 0.6870936 0.3670928 0.5226189 0.3203588 0.5199961 0.8079697 0.4726435 0.7175124 0.501085 
13.58999 12 0.2530418 0.8084002 0.6604812 0.3094157 0.4652182 0.4488741 0.440799 0.9257596 0.1946643 0.8362694 0.3488983 0.2441697 0.3584886 0.1532502 0.842207 0.6644929 
16.43266 13 0.4456411 0.1707634 0.3327635 0.9656902 0.2337191 0.2370472 0.7219532 0.6957473 0.5821306 0.9284932 0.5553761 0.3371665 0.9064807 0.7516113 0.6117235 0.004928529 
9.983459 14 0.4641421 0.1541941 0.4256827 0.3496696 0.3135289 0.4695233 0.1187382 0.1243354 0.2897738 0.5875976 0.2202213 0.7234107 0.3858289 0.3598527 0.3667849 0.5244489 
14.32826 15 0.7277314 0.02599391 0.6780691 0.2741775 0.7792265 0.5064654 0.08995219 0.8809783 0.6391074 0.05867343 0.3372773 0.2939 0.6057054 0.7032267 0.04866785 0.5012077 
14.37639 16 0.07333248 0.1173604 0.7502875 0.6190822 0.1376108 0.08448455 0.07131144 0.3923518 0.7549153 0.7428907 0.3819957 0.7957149 0.008028172 0.3762108 0.02001976 0.6538452 
17.16759 17 0.9894703 0.3207766 0.5478482 0.727293 0.009933054 0.1040454 0.9166885 0.7355674 0.793628 0.8476502 0.9091867 0.503371 0.9043261 0.5442114 0.4970622 0.6026692 
17.14026 18 0.9630148 0.3207766 0.5478482 0.727293 0.009933054 0.1040454 0.9166885 0.7355674 0.793628 0.8476502 0.9091867 0.503371 0.9043261 0.5442114 0.4970622 0.6026692 
16.24159 19 0.9630148 0.8124282 0.5478482 0.727293 0.009933054 0.1040454 0.9166885 0.7355674 0.793628 0.8476502 0.9091867 0.503371 0.9043261 0.5442114 0.4970622 0.6026692 
16.22786 20 0.9630148 0.8124282 0.4991674 0.727293 0.009933054 0.1040454 0.9166885 0.7355674 0.793628 0.8476502 0.9091867 0.503371 0.9043261 0.5442114 0.4970622 0.6026692 
16.06093 21 0.9630148 0.8124282 0.4991674 0.8855775 0.009933054 0.1040454 0.9166885 0.7355674 0.793628 0.8476502 0.9091867 0.503371 0.9043261 0.5442114 0.4970622 0.6026692 
14.60919 22 0.9630148 0.8124282 0.4991674 0.8855775 0.4456407 0.1040454 0.9166885 0.7355674 0.793628 0.8476502 0.9091867 0.503371 0.9043261 0.5442114 0.4970622 0.6026692 
14.59653 23 0.9630148 0.8124282 0.4991674 0.8855775 0.4456407 0.6571753 0.9166885 0.7355674 0.793628 0.8476502 0.9091867 0.503371 0.9043261 0.5442114 0.4970622 0.6026692 
13.66653 24 0.9630148 0.8124282 0.4991674 0.8855775 0.4456407 0.6571753 0.3077547 0.7355674 0.793628 0.8476502 0.9091867 0.503371 0.9043261 0.5442114 0.4970622 0.6026692 
12.41106 25 0.9630148 0.8124282 0.4991674 0.8855775 0.4456407 0.6571753 0.3077547 0.2358056 0.793628 0.8476502 0.9091867 0.503371 0.9043261 0.5442114 0.4970622 0.6026692 
10.98093 26 0.9630148 0.8124282 0.4991674 0.8855775 0.4456407 0.6571753 0.3077547 0.2358056 0.4372475 0.8476502 0.9091867 0.503371 0.9043261 0.5442114 0.4970622 0.6026692 
11.06079 27 0.9630148 0.8124282 0.4991674 0.8855775 0.4456407 0.6571753 0.3077547 0.2358056 0.4372475 0.5363971 0.9091867 0.503371 0.9043261 0.5442114 0.4970622 0.6026692 
11.08666 28 0.9630148 0.8124282 0.4991674 0.8855775 0.4456407 0.6571753 0.3077547 0.2358056 0.4372475 0.5363971 0.07097362 0.503371 0.9043261 0.5442114 0.4970622 0.6026692 
13.54946 29 0.9630148 0.8124282 0.4991674 0.8855775 0.4456407 0.6571753 0.3077547 0.2358056 0.4372475 0.5363971 0.07097362 0.06111273 0.9043261 0.5442114 0.4970622 0.6026692 
13.57533 30 0.9630148 0.8124282 0.4991674 0.8855775 0.4456407 0.6571753 0.3077547 0.2358056 0.4372475 0.5363971 0.07097362 0.06111273 0.8428685 0.5442114 0.4970622 0.6026692 
13.58133 31 0.9630148 0.8124282 0.4991674 0.8855775 0.4456407 0.6571753 0.3077547 0.2358056 0.4372475 0.5363971 0.07097362 0.06111273 0.8428685 0.7307516 0.4970622 0.6026692 
13.63266 32 0.9630148 0.8124282 0.4991674 0.8855775 0.4456407 0.6571753 0.3077547 0.2358056 0.4372475 0.5363971 0.07097362 0.06111273 0.8428685 0.7307516 0.3270933 0.6026692 
13.54226 33 0.9630148 0.8124282 0.4991674 0.8855775 0.4456407 0.6571753 0.3077547 0.2358056 0.4372475 0.5363971 0.07097362 0.06111273 0.8428685 0.7307516 0.3270933 0.894529 
9.979859 34 0.4641421 0.1541941 0.4256827 0.3496696 0.3135289 0.4695233 0.1187382 0.1243354 0.2897738 0.5875976 0.2202213 0.7234107 0.3858289 0.3598527 0.3667849 0.5244489 
9.980125 35 0.4641431 0.1541941 0.4256827 0.3496696 0.3135289 0.4695233 0.1187382 0.1243354 0.2897738 0.5875976 0.2202213 0.7234107 0.3858289 0.3598527 0.3667849 0.5244489 
9.965325 36 0.4641411 0.1541941 0.4256827 0.3496696 0.3135289 0.4695233 0.1187382 0.1243354 0.2897738 0.5875976 0.2202213 0.7234107 0.3858289 0.3598527 0.3667849 0.5244489 
9.983325 37 0.4641421 0.1541951 0.4256827 0.3496696 0.3135289 0.4695233 0.1187382 0.1243354 0.2897738 0.5875976 0.2202213 0.7234107 0.3858289 0.3598527 0.3667849 0.5244489 
9.855592 38 0.4641421 0.1541931 0.4256827 0.3496696 0.3135289 0.4695233 0.1187382 0.1243354 0.2897738 0.5875976 0.2202213 0.7234107 0.3858289 0.3598527 0.3667849 0.5244489 
9.981192 39 0.4641421 0.1541941 0.4256837 0.3496696 0.3135289 0.4695233 0.1187382 0.1243354 0.2897738 0.5875976 0.2202213 0.7234107 0.3858289 0.3598527 0.3667849 0.5244489 
9.982925 40 0.4641421 0.1541941 0.4256817 0.3496696 0.3135289 0.4695233 0.1187382 0.1243354 0.2897738 0.5875976 0.2202213 0.7234107 0.3858289 0.3598527 0.3667849 0.5244489 
9.983459 41 0.4641421 0.1541941 0.4256827 0.3496706 0.3135289 0.4695233 0.1187382 0.1243354 0.2897738 0.5875976 0.2202213 0.7234107 0.3858289 0.3598527 0.3667849 0.5244489 
9.986259 42 0.4641421 0.1541941 0.4256827 0.3496686 0.3135289 0.4695233 0.1187382 0.1243354 0.2897738 0.5875976 0.2202213 0.7234107 0.3858289 0.3598527 0.3667849 0.5244489 
