,ts,io,mpi,iops,mpi_hit,other_hit,io_p,mpi_p,other_p
0,0.0,,,,,,,,
1,10.0,2.237346772821988,12.24674861914964,3094.2223576797264,4992.313259679682,99.43727908324036,1.3983417330137424,7.654217886968525,90.94744038001772
2,20.0,0.44330908806167857,0.5805817633192856,26.927091727875904,722.2382508598721,0.0001495900796726346,0.2770681800385491,0.3628636020745535,99.36006821788689
3,30.0,0.2813801391163335,1.3840964999744703,21.788050592397667,782.9070468825093,7.132667997211684e-05,0.17586258694770845,0.865060312484044,98.95907710056825
4,40.0,0.23728100000000074,0.0027648802876143463,12.0,724.5228385332593,0.0,0.14830062500000046,0.0017280501797589662,99.84997132482025
5,50.0,0.4060471402153474,1.4903075556505012,25.559117386836988,822.0798208423557,-1.3930459317634813e-05,0.2537794626345921,0.9314422222815634,98.81477831508384
6,60.0,0.280310859784652,0.24639794906995505,15.565882613163012,724.319939063128,1.3930459317634813e-05,0.1751942873654075,0.1539987181687219,99.67080699446588
7,70.0,0.3065095058754226,0.35400767642546427,15.670812353250767,771.0472749010878,0.1746857515990996,0.19156844117213911,0.22125479776591517,99.58717676106194
8,80.0,0.4239738048113404,0.9158982720079045,26.395491824546298,776.6385433043433,-0.17471191884033033,0.26498362800708775,0.5724364200049403,99.16257995198796
9,90.0,0.1943649512566772,0.002629918763247474,13.025839654345873,734.7807112685514,-4.1653924199636094e-05,0.12147809453542323,0.0016436992270296715,99.87687820623755
10,100.0,0.5363530155607847,1.2873570730020703,28.552268817911227,810.84164069295,2.4432767531834543e-05,0.33522063472549046,0.8045981706262939,98.86018119464822
11,110.0,0.2874837224957725,0.30783768457137484,15.572975665425474,743.3328543694515,0.0003217809116904391,0.1796773265598578,0.19239855285710927,99.62792412058303
12,120.0,0.4148670000000001,0.538072427690345,20.03261168452036,760.0030714730183,-0.0002783925137919141,0.25929187500000006,0.33629526730646564,99.40441285769353
