,ts,io,mpi,iops,mpi_hit,other_hit,io_p,mpi_p,other_p
0,0.0,,,,,,,,
1,10.0,4.835631166479995,43.35609077506803,2916.589795184402,4247.552516238452,103.2186103018953,1.5111347395249985,13.548778367208762,84.94008689326624
2,20.0,0.8823222495801941,7.481416546452266,26.15543869975363,657.2246779327534,-0.00041769131530600134,0.27572570299381066,2.337942670766333,97.38633162623985
3,30.0,0.627309042160273,0.7581887305613932,12.266111609535983,598.6028785255212,0.00047971855838113697,0.1960340756750853,0.2369339783004354,99.56703194602449
4,40.0,1.0349095417795517,15.839318246017967,25.957404506308194,683.4525948449591,7.767086162857595e-05,0.3234092318061099,4.949786951880615,94.72680381631328
5,50.0,1.032577359927025,14.071647557147884,23.0625,663.9737291245065,-0.01246940795044793,0.3226804249771953,4.397389861608714,95.27992971341409
6,60.0,0.6381116400729834,2.038296598833469,13.0,620.6931599161035,0.01246940795044793,0.19940988752280728,0.636967687135459,99.16362242534173
7,70.0,1.3850273377796594,15.468902767826421,29.176495405698006,701.7206324536746,-0.00011962809003307484,0.43282104305614355,4.834032114945757,94.7331468419981
8,80.0,1.3317529987719947,14.731159694121686,26.581337686664483,662.9105387894942,-0.0006671706905763131,0.41617281211624835,4.603487404413027,94.98033978347073
9,90.0,0.7102792794741681,2.6747429980722046,14.134200622135722,631.4026217215651,-0.02609933961321076,0.22196227483567754,0.835857186897564,98.94218053826675
10,100.0,1.3274539155082916,15.384215004846553,26.466482483854634,675.809645267811,0.026859884160330694,0.4148293485963411,4.807567189014548,94.77760346238911
11,110.0,1.3079544867366817,13.255439064107549,25.4937494533433,680.2513176412776,-0.016540650045044458,0.40873577710521297,4.142324707533609,95.44893951536118
12,120.0,0.9055477876306846,5.883538187772103,17.862531672834848,634.9649876630119,0.01565510510954482,0.2829836836345889,1.8386056836787825,97.87841063268662
13,130.0,1.3653940297878435,15.170550870126306,27.56818556634971,669.6451853554408,0.0008224393614000292,0.42668563430870116,4.7407971469144705,94.83251721877683
14,140.0,0.9018301053104949,4.895439744025225,17.656085582341802,644.1031123003013,-0.003167793796819751,0.28182190790952966,1.5298249200078828,98.18835317208259
