distance id optim_v-1 optim_v-2 optim_v-3 optim_v-4 optim_v-5 optim_v-6 optim_v-7 optim_v-8 optim_v-9 optim_v-10 optim_v-11 optim_v-12 optim_v-13 optim_v-14 optim_v-15 optim_v-16 
9.229323 31 0.2163406 0.8673054 0.6668838 0.05312085 0.4420931 0.1504839 0.4550757 0.3354397 0.6412519 0.1374762 0.483219 0.49823 0.237341 0.09949266 0.6744496 0.08184894 
9.227856 32 0.2163406 0.8673054 0.6668838 0.05312085 0.4420931 0.1504839 0.4550757 0.3354397 0.6412519 0.1374762 0.483219 0.49823 0.237341 0.09949266 0.5044807 0.08184894 
9.236256 33 0.2163406 0.8673054 0.6668838 0.05312085 0.4420931 0.1504839 0.4550757 0.3354397 0.6412519 0.1374762 0.483219 0.49823 0.237341 0.09949266 0.5044807 0.04526786 
6.333856 34 0.5881469 0.04581849 0.549136 0.2648361 0.8747025 0.8134406 0.436275 0.1142488 0.6832293 0.1572769 0.3065946 0.6648994 0.120349 0.1430494 0.4412151 0.8725327 
6.330656 35 0.5881479 0.04581849 0.549136 0.2648361 0.8747025 0.8134406 0.436275 0.1142488 0.6832293 0.1572769 0.3065946 0.6648994 0.120349 0.1430494 0.4412151 0.8725327 
6.33639 36 0.5881459 0.04581849 0.549136 0.2648361 0.8747025 0.8134406 0.436275 0.1142488 0.6832293 0.1572769 0.3065946 0.6648994 0.120349 0.1430494 0.4412151 0.8725327 
6.333456 37 0.5881469 0.04581949 0.549136 0.2648361 0.8747025 0.8134406 0.436275 0.1142488 0.6832293 0.1572769 0.3065946 0.6648994 0.120349 0.1430494 0.4412151 0.8725327 
6.40959 38 0.5881469 0.04581749 0.549136 0.2648361 0.8747025 0.8134406 0.436275 0.1142488 0.6832293 0.1572769 0.3065946 0.6648994 0.120349 0.1430494 0.4412151 0.8725327 
6.33679 39 0.5881469 0.04581849 0.549137 0.2648361 0.8747025 0.8134406 0.436275 0.1142488 0.6832293 0.1572769 0.3065946 0.6648994 0.120349 0.1430494 0.4412151 0.8725327 
6.342523 40 0.5881469 0.04581849 0.549135 0.2648361 0.8747025 0.8134406 0.436275 0.1142488 0.6832293 0.1572769 0.3065946 0.6648994 0.120349 0.1430494 0.4412151 0.8725327 
6.341856 41 0.5881469 0.04581849 0.549136 0.2648371 0.8747025 0.8134406 0.436275 0.1142488 0.6832293 0.1572769 0.3065946 0.6648994 0.120349 0.1430494 0.4412151 0.8725327 
6.343056 42 0.5881469 0.04581849 0.549136 0.2648351 0.8747025 0.8134406 0.436275 0.1142488 0.6832293 0.1572769 0.3065946 0.6648994 0.120349 0.1430494 0.4412151 0.8725327 
6.411723 43 0.5881469 0.04581849 0.549136 0.2648361 0.8747035 0.8134406 0.436275 0.1142488 0.6832293 0.1572769 0.3065946 0.6648994 0.120349 0.1430494 0.4412151 0.8725327 
6.336523 44 0.5881469 0.04581849 0.549136 0.2648361 0.8747015 0.8134406 0.436275 0.1142488 0.6832293 0.1572769 0.3065946 0.6648994 0.120349 0.1430494 0.4412151 0.8725327 
6.404656 45 0.5881469 0.04581849 0.549136 0.2648361 0.8747025 0.8134416 0.436275 0.1142488 0.6832293 0.1572769 0.3065946 0.6648994 0.120349 0.1430494 0.4412151 0.8725327 
6.404523 46 0.5881469 0.04581849 0.549136 0.2648361 0.8747025 0.8134396 0.436275 0.1142488 0.6832293 0.1572769 0.3065946 0.6648994 0.120349 0.1430494 0.4412151 0.8725327 
6.40359 47 0.5881469 0.04581849 0.549136 0.2648361 0.8747025 0.8134406 0.436276 0.1142488 0.6832293 0.1572769 0.3065946 0.6648994 0.120349 0.1430494 0.4412151 0.8725327 
